                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.2823,                 2.6182,                 1.5131,                0.76892,                0.61273,                 0.6981,                0.50575,                0.93507,                 1.4587,                 1.2225,               0.070278,              0.0033025,              0.0033025
                      1,                 1.0968,                 1.4135,                 1.3355,                0.66356,                0.67493,                0.70006,                0.49512,                 1.0465,                 1.1654,                 1.3042,               0.040245,               0.006603,               0.006603
                      2,                 1.1305,                  1.338,                 1.3568,                0.50083,                0.56491,                0.53783,                0.31387,                 1.3319,                 1.6165,                 1.5092,               0.010179,              0.0098704,              0.0098704
                      3,                 1.2384,                 1.3929,                  1.417,                0.54232,                0.64498,                0.60591,                0.37666,                 1.3054,                 1.5526,                 1.4531,              0.0098515,              0.0098515,              0.0098515
                      4,                 1.2396,                 1.3707,                  1.408,                0.70599,                0.55174,                0.68819,                0.40175,                 1.3152,                 1.4914,                 1.5406,              0.0098515,              0.0098515,              0.0098515
                      5,                  1.242,                 1.3359,                  1.421,                0.76828,                0.55749,                0.67984,                0.43856,                 1.2536,                  1.599,                 1.5488,               0.009802,               0.009802,               0.009802
                      6,                 1.2246,                 1.3018,                 1.4226,                0.71847,                0.55238,                 0.6707,                 0.4214,                 1.3726,                 1.5071,                 1.6011,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.2167,                 1.2812,                 1.4377,                0.70026,                0.68065,                0.71359,                0.46959,                 1.1857,                 1.2518,                 1.4155,               0.009703,               0.009703,               0.009703
                      8,                  1.196,                  1.216,                 1.3675,                 0.8353,                0.54236,                0.68493,                0.45694,                 1.2499,                 1.4068,                 1.4185,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.1563,                 1.1493,                 1.3724,                0.62681,                0.62609,                 0.6358,                0.42926,                 1.1848,                 1.4716,                 1.4144,               0.009604,               0.009604,               0.009604
                     10,                 1.1273,                 1.1049,                 1.3452,                0.67529,                0.64802,                0.71167,                0.47837,                 1.1477,                 1.3474,                 1.3812,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.1274,                 1.0795,                 1.3353,                0.61249,                0.68802,                0.69012,                0.46532,                 1.1583,                 1.5977,                 1.3907,               0.009505,               0.009505,               0.009505
                     12,                 1.0979,                 1.0558,                 1.3207,                0.75469,                0.64662,                0.67685,                0.45833,                 1.1887,                 1.2244,                 1.4156,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.0662,                 1.0151,                 1.3161,                0.75147,                 0.6444,                0.66476,                0.42534,                 1.3516,                 1.4235,                 1.5696,               0.009406,               0.009406,               0.009406
                     14,                 1.0637,                 1.0022,                 1.3026,                0.71476,                0.63622,                0.70163,                0.47875,                 1.1577,                  1.283,                 1.4226,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.0831,                0.98245,                 1.3028,                0.88709,                0.67852,                0.76947,                0.50954,                   1.12,                 1.1114,                 1.4386,               0.009307,               0.009307,               0.009307
                     16,                 1.0357,                0.94699,                 1.2833,                0.63162,                0.61517,                0.63429,                0.42386,                 1.1599,                 1.3478,                 1.3923,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.0344,                0.92027,                 1.2768,                0.78302,                0.67411,                0.76899,                0.50007,                 1.1308,                 1.2384,                 1.4077,               0.009208,               0.009208,               0.009208
                     18,                 1.0062,                0.88926,                  1.256,                0.79808,                 0.7606,                0.79628,                0.54243,                 1.1114,                 1.0196,                 1.3047,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.0157,                  0.913,                 1.2681,                0.70646,                0.68106,                0.69035,                0.47862,                 1.0738,                 1.2045,                 1.3681,               0.009109,               0.009109,               0.009109
                     20,                 1.0014,                0.87814,                 1.2562,                0.78405,                0.67106,                0.73145,                0.50494,                 1.0601,                 1.0556,                 1.3148,              0.0090595,              0.0090595,              0.0090595
                     21,                0.97341,                0.84294,                  1.235,                0.69995,                0.69395,                0.70521,                0.49177,                 1.0678,                 1.2638,                 1.3035,                0.00901,                0.00901,                0.00901
                     22,                0.97299,                0.84879,                 1.2355,                0.71489,                0.74515,                0.71156,                0.48947,                 1.0087,                 1.1498,                 1.2952,              0.0089605,              0.0089605,              0.0089605
                     23,                 0.9636,                0.81582,                 1.2322,                 0.7603,                 0.6803,                0.72767,                0.50569,                  1.131,                 1.0869,                 1.3472,               0.008911,               0.008911,               0.008911
                     24,                0.95596,                0.81793,                 1.2115,                0.83175,                0.74864,                0.79884,                0.54884,                 1.0701,                 1.0918,                 1.3324,              0.0088615,              0.0088615,              0.0088615
                     25,                 0.9363,                0.79851,                 1.2126,                 0.8176,                0.73048,                0.78201,                0.53957,                 1.0833,                 1.0523,                 1.3496,               0.008812,               0.008812,               0.008812
                     26,                0.92992,                0.78921,                 1.2121,                0.72267,                0.72413,                0.72788,                0.50765,                 1.1025,                 1.1502,                 1.3802,              0.0087625,              0.0087625,              0.0087625
                     27,                0.93402,                0.78714,                 1.2142,                0.79499,                0.66854,                0.75325,                 0.5294,                0.98919,                 1.0302,                 1.2587,               0.008713,               0.008713,               0.008713
                     28,                0.92612,                0.76354,                 1.2026,                0.77567,                0.68669,                0.72356,                0.48604,                 1.1015,                 1.1654,                 1.3552,              0.0086635,              0.0086635,              0.0086635
                     29,                0.93249,                0.75826,                 1.1984,                0.76412,                0.76931,                 0.7821,                 0.5275,                 1.0664,                 1.1393,                 1.3175,               0.008614,               0.008614,               0.008614
                     30,                0.90764,                0.74656,                 1.1928,                0.71079,                0.67015,                0.67268,                0.49055,                 1.0031,                 1.2889,                 1.3096,              0.0085645,              0.0085645,              0.0085645
                     31,                0.89703,                0.74197,                  1.175,                0.78399,                0.68013,                0.71432,                0.49159,                 1.0063,                 1.1584,                 1.2722,               0.008515,               0.008515,               0.008515
                     32,                0.88231,                0.73471,                 1.1694,                0.72564,                0.70244,                0.72203,                0.50973,                 1.0546,                 1.1718,                  1.287,              0.0084655,              0.0084655,              0.0084655
                     33,                0.87608,                0.70854,                 1.1658,                0.77559,                0.77559,                0.78295,                0.54833,                 1.0381,                  1.059,                 1.2586,               0.008416,               0.008416,               0.008416
                     34,                0.87184,                0.69991,                 1.1638,                0.70501,                0.75857,                0.71114,                0.51126,                 1.0595,                 1.1977,                 1.3128,              0.0083665,              0.0083665,              0.0083665
                     35,                0.86144,                0.69244,                 1.1551,                0.79344,                0.74231,                0.73162,                0.49977,                 1.0731,                 1.1407,                 1.3609,               0.008317,               0.008317,               0.008317
                     36,                0.84397,                0.67469,                 1.1526,                0.72668,                0.81171,                0.76275,                0.53151,                 1.0003,                  1.052,                 1.2543,              0.0082675,              0.0082675,              0.0082675
                     37,                0.83967,                0.67809,                 1.1541,                  0.726,                0.81063,                0.73189,                0.52114,                0.98335,                 1.1071,                 1.2669,               0.008218,               0.008218,               0.008218
                     38,                0.84851,                0.67986,                   1.15,                0.72154,                 0.7136,                0.72333,                 0.5217,                 1.0336,                 1.1996,                 1.2853,              0.0081685,              0.0081685,              0.0081685
                     39,                0.82996,                 0.6596,                 1.1312,                 0.7642,                  0.741,                0.74455,                0.54227,                0.94721,                 1.0811,                 1.2605,               0.008119,               0.008119,               0.008119
                     40,                0.82397,                0.66312,                 1.1345,                 0.7425,                0.69591,                0.73436,                0.54551,                0.95711,                 1.1054,                 1.2458,              0.0080695,              0.0080695,              0.0080695
                     41,                0.81415,                0.65259,                 1.1334,                0.71583,                0.75405,                0.73433,                0.52245,                   1.03,                 1.0766,                 1.3036,                0.00802,                0.00802,                0.00802
                     42,                0.82472,                0.64062,                 1.1327,                0.84687,                0.73436,                 0.7997,                0.56753,                0.94468,                0.92415,                 1.2435,              0.0079705,              0.0079705,              0.0079705
                     43,                0.82335,                 0.6492,                 1.1305,                0.81871,                0.69986,                0.75967,                0.53995,                 1.0012,                 1.0398,                 1.2862,               0.007921,               0.007921,               0.007921
                     44,                0.80769,                0.63394,                 1.1237,                0.77106,                0.77306,                0.76878,                0.56933,                 0.9871,                 1.0359,                 1.2674,              0.0078715,              0.0078715,              0.0078715
                     45,                0.79336,                0.62048,                  1.118,                0.77732,                0.71353,                0.75061,                0.54625,                 0.9863,                 1.1058,                 1.2826,               0.007822,               0.007822,               0.007822
                     46,                0.80279,                0.62994,                 1.1132,                0.76868,                0.75948,                0.76288,                0.54941,                0.97118,                 0.9636,                 1.2586,              0.0077725,              0.0077725,              0.0077725
                     47,                0.78185,                 0.6193,                 1.1024,                0.87419,                0.71265,                0.79094,                0.57376,                0.93226,                0.97604,                   1.23,               0.007723,               0.007723,               0.007723
                     48,                0.76862,                 0.5987,                 1.1157,                0.72053,                0.71731,                 0.6988,                0.50997,                0.98051,                 1.1067,                 1.2701,              0.0076735,              0.0076735,              0.0076735
                     49,                0.77588,                0.60808,                 1.1109,                0.75587,                0.73861,                0.73725,                0.53289,                0.97716,                 1.1113,                 1.2381,               0.007624,               0.007624,               0.007624
                     50,                0.77836,                0.61074,                 1.1111,                0.66452,                0.69206,                0.65695,                0.45125,                 1.0265,                 1.3418,                 1.3039,              0.0075745,              0.0075745,              0.0075745
                     51,                0.75796,                0.58875,                 1.1035,                0.74372,                0.68806,                0.71858,                0.49545,                 1.0307,                 1.1299,                 1.3194,               0.007525,               0.007525,               0.007525
                     52,                0.78204,                0.60515,                 1.1002,                0.73434,                 0.7201,                0.73986,                0.54116,                0.96544,                 1.0667,                 1.2478,              0.0074755,              0.0074755,              0.0074755
                     53,                0.74667,                0.57671,                  1.092,                0.74552,                0.74476,                0.75752,                0.52791,                 1.0352,                 1.0604,                 1.2955,               0.007426,               0.007426,               0.007426
                     54,                0.76683,                0.58728,                 1.0865,                0.78176,                0.72841,                0.74732,                0.53876,                0.94275,                 1.0511,                 1.2504,              0.0073765,              0.0073765,              0.0073765
                     55,                0.74092,                0.57601,                 1.0807,                0.79131,                0.74422,                0.75729,                0.55499,                0.91548,                  1.004,                 1.2237,               0.007327,               0.007327,               0.007327
                     56,                0.74749,                0.58263,                 1.0886,                0.64636,                0.65549,                0.64947,                0.48569,                0.97152,                 1.3164,                 1.3015,              0.0072775,              0.0072775,              0.0072775
                     57,                0.73582,                0.55513,                 1.0758,                0.75657,                 0.7083,                0.73788,                0.55596,                0.96415,                 1.0525,                 1.3053,               0.007228,               0.007228,               0.007228
                     58,                 0.7393,                0.57657,                 1.0893,                0.70216,                0.70868,                0.70343,                   0.51,                 1.0215,                 1.2267,                 1.3094,              0.0071785,              0.0071785,              0.0071785
                     59,                0.74256,                0.56953,                 1.0803,                0.74502,                0.71511,                0.74861,                 0.5647,                0.92167,                 1.1411,                 1.2156,               0.007129,               0.007129,               0.007129
                     60,                0.71998,                0.53425,                 1.0737,                0.79018,                0.67817,                0.72429,                0.54967,                0.99311,                 1.1308,                 1.2652,              0.0070795,              0.0070795,              0.0070795
                     61,                0.71545,                0.55091,                 1.0717,                 0.7274,                 0.7459,                0.73855,                0.55093,                0.94492,                0.98567,                 1.2463,                0.00703,                0.00703,                0.00703
                     62,                0.70949,                0.53166,                  1.072,                0.71034,                0.74221,                0.73706,                0.52854,                0.98534,                0.92758,                 1.3021,              0.0069805,              0.0069805,              0.0069805
                     63,                0.70613,                0.53979,                 1.0756,                0.81091,                0.73967,                0.74973,                0.54923,                0.95639,                 1.1059,                 1.3092,               0.006931,               0.006931,               0.006931
                     64,                0.70661,                0.52794,                 1.0704,                0.74551,                0.70287,                0.74221,                0.53381,                 1.0338,                 1.1545,                  1.338,              0.0068815,              0.0068815,              0.0068815
                     65,                0.72533,                0.53067,                 1.0672,                0.84951,                0.72536,                0.77636,                 0.5473,                0.96831,                 1.1192,                 1.2921,               0.006832,               0.006832,               0.006832
                     66,                0.69571,                0.53256,                 1.0653,                0.78963,                0.71363,                0.71765,                0.52878,                0.91707,                 1.0882,                 1.2225,              0.0067825,              0.0067825,              0.0067825
                     67,                0.68906,                0.53646,                 1.0556,                0.81886,                0.69935,                0.72023,                0.52404,                0.93634,                 1.1021,                 1.2637,               0.006733,               0.006733,               0.006733
